id,title length,tags count,max tag popularity,avg tag popularity,min tag popularity,total code %,java %,json %,xml %,stack traces %,length,words count,day of week,reputation,intercalations,score,number of answers,max answer score,avg answer score,min answer score,number of comments,max answer length,avg answer length,min answer length
10002610,45,5,987300,204838.8,508,0.5181236673773987,0.5181236673773987,0.0,0.0,0.0,469,41,Tuesday,215,2,2,1,2,2.0,2,0,3029,3029.0,3029
10003995,59,3,987300,593906.6666666666,23652,0.3,0.3,0.0,0.0,0.0,220,27,Wednesday,879,1,0,3,1,0.3333333333333333,0,5,446,308.0,207
10009006,83,3,987300,334926.0,1084,0.0,0.0,0.0,0.0,0.0,384,79,Wednesday,135,0,1,1,2,2.0,2,5,406,406.0,406
10011587,58,4,987300,280152.75,23894,0.665079365079365,0.665079365079365,0.0,0.0,0.0,1260,71,Wednesday,2668,2,0,1,1,1.0,1,0,588,588.0,588
10013250,40,4,987300,263946.5,2104,0.5614973262032086,0.0,0.0,0.5614973262032086,0.0,374,34,Wednesday,7662,2,1,3,2,0.6666666666666666,0,1,1379,944.3333333333334,186
10015647,34,3,987300,330199.3333333333,691,0.0,0.0,0.0,0.0,0.0,1013,173,Wednesday,3595,0,4,2,4,3.0,2,0,1109,647.0,185
10019050,65,3,987300,341324.3333333333,2804,0.3772893772893773,0.27106227106227104,0.0,0.0,0.0,546,70,Wednesday,108,6,6,1,19,19.0,19,2,427,427.0,427
1002926,44,2,987300,496481.5,5663,0.4921369102682701,0.4921369102682701,0.0,0.0,0.0,1081,105,Tuesday,26442,5,7,2,4,3.0,2,1,1433,849.5,266
10029650,40,3,987300,418259.3333333333,128469,0.5647249190938511,0.0,0.23300970873786409,0.33171521035598706,0.0,618,53,Thursday,6,6,-3,3,4,1.6666666666666667,0,0,431,201.0,78
10030420,81,3,987300,355551.0,1095,0.9062135922330097,0.0,0.0,0.13805825242718447,0.7681553398058253,5150,76,Thursday,1122,4,1,0,-,-,-,7,-,-,-
10042618,51,4,987300,261329.75,3197,0.7392703862660944,0.7392703862660944,0.0,0.0,0.0,932,43,Friday,1318,4,1,2,1,1.0,1,0,560,432.5,305
10046762,30,4,987300,262864.5,1257,0.8231540565177757,0.8231540565177757,0.0,0.0,0.0,1097,41,Friday,119,1,4,2,4,2.0,0,4,781,632.0,483
