auc;tnr;tpr;g.mean;w.acc;prec;rec;f.measure;acc;k;train.size;test.size;classifier;run
0,692720281;0,588904694;0,706270627;0,644923319;0,676929144;0,425447316;0,706270627;0,53101737;0,624254473;0,359702842;0,9;9054;binlr;1
0,693770693;0,585230867;0,697435897;0,638874804;0,66938464;0,420587586;0,697435897;0,524734739;0,619063397;0,346774974;0,9;9054;binlr;2
0,697791996;0,592793367;0,709202013;0,648390507;0,680099852;0,435829468;0,709202013;0,539882337;0,628561962;0,369438362;0,9;9054;binlr;3
0,690838018;0,583503215;0,698916698;0,63860797;0,670063327;0,41329799;0,698916698;0,519433648;0,617627568;0,343959223;0,9;9054;binlr;4
0,695733816;0,587065456;0,708395802;0,644883481;0,678063215;0,41749503;0,708395802;0,525364837;0,622818644;0,357033639;0,9;9054;binlr;5
0,696316089;0,590112147;0,709511568;0,647063671;0,679661713;0,426772697;0,709511568;0,532965517;0,626021648;0,364112713;0,9;9054;binlr;6
0,686667339;0,584884646;0,692668834;0,636499305;0,665722787;0,423680141;0,692668834;0,525767544;0,617848465;0,343164054;0,9;9054;binlr;7
0,698706226;0,590344168;0,704103672;0,644719704;0,675663796;0,432074221;0,704103672;0,535523614;0,625248509;0,361384922;0,9;9054;binlr;8
0,693393382;0,587817579;0,704821494;0,643666423;0,675570516;0,423017451;0,704821494;0,528713418;0,622929092;0,35657766;0,9;9054;binlr;9
0,687691006;0,586272339;0,699743684;0,640500091;0,671375847;0,422133863;0,699743684;0,526591347;0,620499227;0,35033954;0,9;9054;binlr;10
