"FALSE";"TRUE"
"first.posted";54,5248141526463;54,5248141526463
"same.day.as.question";10,706704129038;10,706704129038
"question.view.count";14,7065989066348;14,7065989066348
"q..max.tag.popularity..no.java.";8,05516336298009;8,05516336298009
"q..avg.tag.popularity";8,50708376594378;8,50708376594378
"q..min.tag.popularity";5,14448781423087;5,14448781423087
"json..";-0,473849723889357;-0,473849723889357
"xml..";3,09360571741832;3,09360571741832
"stack.traces..";-0,503782850244751;-0,503782850244751
"length";11,7041351326155;11,7041351326155
"words.count";5,44315324851741;5,44315324851741
"text.speak.count";5,79194952546658;5,79194952546658
"urls.count";1,22487827684591;1,22487827684591
"Coleman.Liau.Index";8,51596434605403;8,51596434605403
"Flesch.Kincaid.Grade.Level";9,51171093594069;9,51171093594069
"Gunning.Fog.Index";9,4439574559415;9,4439574559415
"SMOG.Grade";4,58595938563156;4,58595938563156
"day.of.week";1,49386032413421;1,49386032413421
"reputation";24,0240500808987;24,0240500808987
"intercalations";7,64719655064615;7,64719655064615
