auc;tnr;tpr;g.mean;w.acc;prec;rec;f.measure;acc;k;train.size;test.size;classifier;run
0,700340297;0,718691296;0,553263316;0,630575554;0,594620311;0,450794621;0,553263316;0,496800269;0,669980119;0,500532785;0,9;9054;ranforest;1
0,694084751;0,742272943;0,510746812;0,615721966;0,568628345;0,463011889;0,510746812;0,485709337;0,672078639;0,510640344;0,9;9054;ranforest;2
0,690417916;0,698128173;0,560363636;0,625464341;0,59480477;0,447444832;0,560363636;0,497578302;0,656284515;0,467229166;0,9;9054;ranforest;3
0,692203323;0,72418176;0,527536232;0,618087467;0,576697614;0,456140351;0,527536232;0,489247312;0,664236801;0,490588;0,9;9054;ranforest;4
0,694409567;0,730465043;0,523792094;0,618556234;0,575460331;0,45645933;0,523792094;0,487813192;0,668102496;0,499981126;0,9;9054;ranforest;5
0,688512;0,719314789;0,552954292;0,630672815;0,594544416;0,454489921;0,552954292;0,49891031;0,669869671;0,500191733;0,9;9054;ranforest;6
0,706617524;0,737501984;0,540864511;0,631576322;0,59002388;0,473751193;0,540864511;0,505088195;0,677711509;0,519083826;0,9;9054;ranforest;7
0,692120215;0,725276461;0,524596182;0,61682839;0,574766252;0,451073232;0,524596182;0,485064494;0,664899492;0,492615376;0,9;9054;ranforest;8
0,700829557;0,711964314;0,572560317;0,638468882;0,607411316;0,467922307;0,572560317;0,514979757;0,66920698;0,495399947;0,9;9054;ranforest;9
0,708563619;0,733650794;0,546114742;0,632975129;0,592998755;0,472658705;0,546114742;0,506738544;0,676607025;0,515932209;0,9;9054;ranforest;10
