file_name, minor, major, total, ownership, num_of_bugs
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/config/FieldBoostMapFCListener.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/EdgeNGramTokenizer.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/document/package.html,0, 3, 3, 33.33%, 0
lucene/core/src/java/org/apache/lucene/search/BooleanScorer2.java,0, 3, 3, 33.33%, 0
solr/example/exampledocs/books.json,0, 2, 2, 66.67%, 0
lucene/core/src/test/org/apache/lucene/util/TestDoubleBarrelLRUCache.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestCheckIndex.java,0, 4, 4, 25.0%, 1
lucene/spatial/src/java/org/apache/lucene/spatial/prefix/tree/GeohashPrefixTree.java,0, 1, 1, 100.0%, 1
lucene/core/src/java/org/apache/lucene/util/automaton/Lev1ParametricDescription.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/response/RawResponseWriter.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/search/BaseTestRangeFilter.java,0, 4, 4, 40.0%, 0
lucene/core/src/java/org/apache/lucene/store/RateLimiter.java,0, 3, 3, 33.33%, 0
solr/solrj/src/java/org/apache/noggit/CharUtil.java,0, 4, 4, 25.0%, 0
lucene/core/src/test/org/apache/lucene/util/junitcompat/TestSeedFromUncaught.java,0, 3, 3, 50.0%, 0
lucene/highlighter/src/java/org/apache/lucene/search/vectorhighlight/FieldQuery.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/schema/CopyField.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/util/SolrPluginUtilsTest.java,0, 2, 2, 66.67%, 0
lucene/memory/src/java/overview.html,0, 1, 1, 100.0%, 0
lucene/queries/src/java/org/apache/lucene/queries/function/valuesource/ShortFieldSource.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/analysis/TestFrenchMinimalStemFilterFactory.java,0, 4, 4, 25.0%, 0
solr/webapp/web/js/scripts/plugins.js,0, 2, 2, 85.71%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/processors/BooleanSingleChildOptimizationQueryNodeProcessor.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/internal/csv/ExtendedBufferedReader.java,0, 1, 1, 100.0%, 0
lucene/highlighter/src/test/org/apache/lucene/search/vectorhighlight/WeightedFragListBuilderTest.java,0, 1, 1, 100.0%, 0
solr/contrib/langid/src/java/org/apache/solr/update/processor/LanguageIdentifierUpdateProcessor.java,0, 4, 4, 25.0%, 0
solr/example/example-DIH/solr/tika/conf/tika-data-config.xml,0, 3, 3, 50.0%, 0
solr/contrib/dataimporthandler/src/test/org/apache/solr/handler/dataimport/TestNumberFormatTransformer.java,0, 2, 2, 66.67%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/sv/TestSwedishAnalyzer.java,0, 2, 2, 50.0%, 0
solr/contrib/extraction/lib/dom4j-1.6.1.jar.sha1,0, 1, 1, 100.0%, 0
lucene/spatial/src/java/org/apache/lucene/spatial/util/StringListTokenizer.java,0, 1, 1, 100.0%, 0
lucene/tools/prettify/prettify.css,0, 1, 1, 100.0%, 0
solr/webapp/web/js/lib/d3.js,0, 1, 1, 100.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/wikipedia/WikipediaTokenizer.java,0, 2, 2, 50.0%, 1
solr/core/src/java/org/apache/solr/update/processor/MinFieldValueUpdateProcessorFactory.java,0, 2, 2, 80.0%, 0
solr/webapp/web/img/ico/status-offline.png,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestDocTermOrds.java,0, 4, 4, 50.0%, 0
solr/contrib/uima/src/test-files/uima/TestExceptionAE.xml,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/analysis/ArabicLetterTokenizerFactory.java,0, 3, 3, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/standard/READ_BEFORE_REGENERATING.txt,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/util/fst/PairOutputs.java,0, 3, 3, 50.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/enhancements/params/package.html,0, 1, 1, 100.0%, 0
solr/core/src/test-files/solr/conf/stop-snowball.txt,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/update/processor/TimestampUpdateProcessorFactory.java,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/analysis/LowerCaseFilterFactory.java,0, 4, 4, 40.0%, 0
solr/lib/httpmime-LICENSE-ASL.txt,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/search/TestRegexpRandom2.java,0, 4, 4, 40.0%, 0
solr/core/src/test-files/solr/conf/schema-tfidf.xml,0, 1, 1, 100.0%, 0
lucene/queries/src/java/org/apache/lucene/queries/function/valuesource/LongFieldSource.java,0, 3, 3, 33.33%, 0
solr/core/src/java/org/apache/solr/search/grouping/collector/FilterCollector.java,0, 3, 3, 50.0%, 0
lucene/highlighter/src/test/org/apache/lucene/search/vectorhighlight/FieldQueryTest.java,0, 3, 3, 33.33%, 0
lucene/core/src/java/org/apache/lucene/util/fst/IntSequenceOutputs.java,0, 3, 3, 33.33%, 0
lucene/benchmark/README.enwiki,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/search/payloads/PayloadFunction.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/resources/org/apache/lucene/analysis/snowball/swedish_stop.txt,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/index/NoDeletionPolicy.java,0, 2, 2, 50.0%, 0
solr/webapp/web/img/ico/clipboard-paste-document-text.png,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/index/MultiDocsEnum.java,0, 4, 4, 40.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/standard/package.html,0, 2, 2, 66.67%, 0
lucene/test-framework/src/java/org/apache/lucene/analysis/BaseTokenStreamTestCase.java,3, 3, 6, 42.42%, 2
lucene/core/src/test/org/apache/lucene/util/TestByteBlockPool.java,0, 3, 3, 33.33%, 0
lucene/facet/src/test/org/apache/lucene/facet/taxonomy/TestCategoryPath.java,0, 2, 2, 50.0%, 0
dev-tools/idea/.idea/ant.xml,3, 2, 5, 82.14%, 0
solr/core/src/test-files/solr/conf/schema12.xml,0, 5, 5, 33.33%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/NewCollationAnalyzerTask.java,0, 2, 2, 66.67%, 0
solr/core/src/java/org/apache/solr/handler/CSVRequestHandler.java,0, 7, 7, 25.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/sinks/TokenRangeSinkFilter.java,0, 1, 1, 100.0%, 0
solr/example/solr/conf/lang/stopwords_es.txt,0, 1, 1, 100.0%, 0
lucene/analysis/kuromoji/src/java/org/apache/lucene/analysis/ja/tokenattributes/BaseFormAttributeImpl.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/core/TestKeywordAnalyzer.java,0, 3, 3, 50.0%, 0
solr/contrib/clustering/CHANGES.txt,3, 3, 6, 45.45%, 0
solr/core/src/java/org/apache/solr/response/transform/DocIdAugmenterFactory.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/br/package.html,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/util/automaton/SortedIntSet.java,0, 2, 2, 50.0%, 0
lucene/analysis/uima/ivy.xml,0, 1, 1, 100.0%, 0
solr/core/src/test/org/apache/solr/analysis/CommonGramsFilterFactoryTest.java,0, 4, 4, 37.5%, 0
solr/solrj/src/java/org/apache/noggit/JSONParser.java,0, 4, 4, 25.0%, 0
lucene/core/src/java/org/apache/lucene/search/MaxNonCompetitiveBoostAttributeImpl.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/analysis/GermanLightStemFilterFactory.java,0, 3, 3, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/ru/TestRussianLightStemFilter.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/highlight/SolrEncoder.java,0, 2, 2, 50.0%, 0
lucene/test-framework/lib/junit-LICENSE-CPL.txt,0, 1, 1, 100.0%, 0
lucene/facet/src/java/org/apache/lucene/util/encoding/SimpleIntDecoder.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/schema/CollationField.java,0, 5, 5, 42.86%, 0
lucene/core/src/java/org/apache/lucene/search/ScoringRewrite.java,0, 5, 5, 20.0%, 0
solr/core/src/test-files/README,0, 1, 1, 100.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/ru/package.html,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestIndexInput.java,0, 5, 5, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/util/TestCharacterUtils.java,0, 2, 2, 50.0%, 0
solr/webapp/web/tpl/threads.html,0, 3, 3, 50.0%, 0
solr/core/src/test/org/apache/solr/request/TestBinaryResponseWriter.java,0, 2, 2, 66.67%, 0
